Title,Memory,Price (PLN),Raw Price,Price per Unit (PLN/GB)
"Apple iPad Air 11"" M3 256GB Wi-Fi Niebieski",256 GB,3239,"Cena: 3 239,00 zł",12.65234375
"Apple iPad 11"" 11gen 128GB Wi-Fi Srebrny",128 GB,1649,"Cena: 1 649,00 zł",12.8828125
"Apple iPad 11"" 11gen 128GB Wi-Fi Niebieski",128 GB,1649,"Cena: 1 649,00 zł",12.8828125
"Apple iPad 11"" 11gen 128GB Wi-Fi Różowy",128 GB,1674,"Cena: 1 674,00 zł",13.078125
"Apple iPad 11"" 11gen 128GB Wi-Fi Żółty",128 GB,1699,"Cena: 1 699,00 zł",13.2734375
"Apple iPad Air 11"" M3 256GB Wi-Fi Księżycowa Poświata",256 GB,3399,"Cena: 3 399,00 zł",13.27734375
Apple iPad Mini 7gen 256GB 5G Niebieski,256 GB,3579,"Cena: 3 579,00 zł",13.98046875
Apple iPad Mini 7gen 256GB 5G Księżycowa Poświata,256 GB,3649,"Cena: 3 649,00 zł",14.25390625
Apple iPad Mini 7gen 256GB 5G Fioletowy,256 GB,3699,"Cena: 3 699,00 zł",14.44921875
Apple iPad Mini 7gen 256GB 5G Gwiezdna Szarość,256 GB,3699,"Cena: 3 699,00 zł",14.44921875
Samsung Galaxy Tab S10 FE WiFi 8/128GB szary,128 GB,1999,"Cena: 1 999,00 zł",15.6171875
Samsung Galaxy Tab S10 FE WiFi 8/128GB niebieski,128 GB,1999,"Cena: 1 999,00 zł",15.6171875
"Samsung Galaxy Tab S10+ 12,4"" 12/256GB WiFi S Pen srebrny",256 GB,3999,"Cena: 3 999,00 zł",15.62109375
"Samsung Galaxy Tab S10+ 12,4"" 12/256GB WiFi S Pen szary",256 GB,3999,"Cena: 3 999,00 zł",15.62109375
"Samsung Galaxy Tab S11 11"" 12/256GB WiFi Szary",256 GB,4099,"Cena: 4 099,00 zł",16.01171875
"Apple iPad Air 13"" M3 256GB Wi-Fi Gwiezdna Szarość",256 GB,4249,"Cena: 4 249,00 zł",16.59765625
"Apple iPad Air 13"" M3 256GB Wi-Fi Fioletowy",256 GB,4299,"Cena: 4 299,00 zł",16.79296875
Samsung Galaxy Tab S10 FE+ WiFi 8/128GB szary,128 GB,2199,"Cena: 2 199,00 zł",17.1796875
"Samsung Galaxy Tab S10+ 12,4"" 12/256GB 5G S Pen szary",256 GB,4599,"Cena: 4 599,00 zł",17.96484375
Apple iPad Mini 7gen 128GB Wi-Fi Gwiezdna Szarość,128 GB,2399,"Cena: 2 399,00 zł",18.7421875
Apple iPad Mini 7gen 128GB Wi-Fi Niebieski,128 GB,2399,"Cena: 2 399,00 zł",18.7421875
"Apple iPad 11"" 11gen 128GB 5G Niebieski",128 GB,2399,"Cena: 2 399,00 zł",18.7421875
"Apple iPad 11"" 11gen 128GB 5G Srebrny",128 GB,2449,"Cena: 2 449,00 zł",19.1328125
Apple iPad Mini 7gen 128GB Wi-Fi Księżycowa Poświata,128 GB,2499,"Cena: 2 499,00 zł",19.5234375
Apple iPad Mini 7gen 128GB Wi-Fi Fioletowy,128 GB,2499,"Cena: 2 499,00 zł",19.5234375
Samsung Galaxy Tab S10 FE+ 5G 8/128GB szary,128 GB,2599,"Cena: 2 599,00 zł",20.3046875
"Apple iPad Air 11"" M3 128GB Wi-Fi Gwiezdna Szarość",128 GB,2759,"Cena: 2 759,00 zł",21.5546875
"Apple iPad Air 11"" M3 128GB Wi-Fi Fioletowy",128 GB,2799,"Cena: 2 799,00 zł",21.8671875
"Apple iPad Air 11"" M3 128GB Wi-Fi Księżycowa Poświata",128 GB,2799,"Cena: 2 799,00 zł",21.8671875
Apple iPad Mini 7gen 128GB 5G Niebieski,128 GB,3099,"Cena: 3 099,00 zł",24.2109375
Apple iPad Mini 7gen 128GB 5G Fioletowy,128 GB,3299,"Cena: 3 299,00 zł",25.7734375
Apple iPad Mini 7gen 128GB 5G Księżycowa Poświata,128 GB,3299,"Cena: 3 299,00 zł",25.7734375
Apple iPad Mini 7gen 128GB 5G Gwiezdna Szarość,128 GB,3299,"Cena: 3 299,00 zł",25.7734375
"Apple iPad Air 13"" M3 128GB Wi-Fi Gwiezdna Szarość",128 GB,3689,"Cena: 3 689,00 zł",28.8203125
"Samsung Galaxy Tab S11 11"" 12/128GB WiFi Srebrny",128 GB,3799,"Cena: 3 799,00 zł",29.6796875
"Samsung Galaxy Tab S11 11"" 12/128GB WiFi Szary",128 GB,3799,"Cena: 3 799,00 zł",29.6796875
"Samsung Galaxy Tab S9 11"" 8/128GB, 5G, S Pen, szary",128 GB,4099,"Cena: 4 099,00 zł",32.0234375
"Samsung Galaxy Tab S11 11"" 12/128GB 5G Szary",128 GB,4399,"Cena: 4 399,00 zł",34.3671875
"Samsung Galaxy Tab S11 11"" 12/128GB 5G Srebrny",128 GB,4399,"Cena: 4 399,00 zł",34.3671875
Lenovo TAB 10''  4GB/64GB/Android 14 LTE,,599,"Cena: 599,00 zł",
"Samsung Galaxy Tab S11 11"" 12/128GB WiFi Szary",,3799,"Cena: 3 799,00 zł",
"Apple iPad 11"" 11gen 128GB Wi-Fi Srebrny",,1649,"Cena: 1 649,00 zł",
Xiaomi Redmi Pad 2 Pro 8/256GB Gray,,1299,"Cena: 1 299,00 zł",
